1,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,ncvacrep,,9 days ago  ,This is my second HP printer with WIFI connected. They both are operating properly. I needed a simple all in one for use at our lake house and this one fit the bill. It was easy to install and is easy to operate. [This review was collected as part of a promotion.],52,264,5 out of 5 stars.,2019-09-24 17:54:59.767190,https://www.samsclub.com/p/hp-officejet-38380-all-in-one-printer-thermal-inkjet/prod23121737
1,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,CDA Lew,,10 days ago  ,"The 3830 has been a good replacement for my recently expired 4635. Its compact size is very similar, which I like, and it seems to print somewhat faster, which is also nice, even though not essential. I also appreciate the touchscreen controls, which make things easier and faster when making adjustments. The only negative for me is the lack of a paper tray; the vertical feeder won't hold nearly as much paper, and I'm not sure how it's going to handle 4x6 photo paper - time will tell. All in all, a smooth-working, dependable machine (my fourth from HP), so I'm happy. [This review was collected as part of a promotion.]",111,624,4 out of 5 stars.,2019-09-24 17:54:59.922114,https://www.samsclub.com/p/hp-officejet-38380-all-in-one-printer-thermal-inkjet/prod23121737
1,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,LisaHP,,10 days ago  ,I have always used HP products. I ordered the office jet 3830 printer one afternoon and received it the next day! Set up is easy and instant ink is the only way to go. [This review was collected as part of a promotion.],43,219,5 out of 5 stars.,2019-09-24 17:54:59.992073,https://www.samsclub.com/p/hp-officejet-38380-all-in-one-printer-thermal-inkjet/prod23121737
1,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,Rseuthy,,11 days ago  ,I love how the printer is WiFi connected. Makes it easy to set up. [This review was collected as part of a promotion.],23,118,5 out of 5 stars.,2019-09-24 17:55:00.079057,https://www.samsclub.com/p/hp-officejet-38380-all-in-one-printer-thermal-inkjet/prod23121737
1,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,RJFFC,,11 days ago  ,Not as easy to set up as I expected re: loading program from internet -had to call Geek Squad [This review was collected as part of a promotion.],28,145,4 out of 5 stars.,2019-09-24 17:55:00.174313,https://www.samsclub.com/p/hp-officejet-38380-all-in-one-printer-thermal-inkjet/prod23121737
1,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,Np,,11 days ago  ,"Easy installation, test pages look clear with good color. Scanning works wonderfully!",12,85,5 out of 5 stars.,2019-09-24 17:55:00.263952,https://www.samsclub.com/p/hp-officejet-38380-all-in-one-printer-thermal-inkjet/prod23121737
1,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,Sherry95,,12 days ago  ,"This has so many good options, it is perfect for a home office and saves space. So far the only issue it keeps jamming but there isn't any paper jams. I even just noticed it has its own lists of forms, a few being note paper, grid paper and alot more u can print right off of it . I am excited about that! [This review was collected as part of a promotion.]",73,357,4 out of 5 stars.,2019-09-24 17:55:00.357914,https://www.samsclub.com/p/hp-officejet-38380-all-in-one-printer-thermal-inkjet/prod23121737
1,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,Connerpa,,12 days ago  ,"I love this printer. It meets all my needs, takes seconds to print and the set up was easy. There are several ways to print using WiFi, Direct connect, etc. I print from my phone and my iPad. Great value for the price! [This review was collected as part of a promotion.]",52,270,5 out of 5 stars.,2019-09-24 17:55:00.548853,https://www.samsclub.com/p/hp-officejet-38380-all-in-one-printer-thermal-inkjet/prod23121737
1,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,AnnP,,a month ago  ,None,1,4,None,2019-09-24 17:55:00.702218,https://www.samsclub.com/p/hp-officejet-38380-all-in-one-printer-thermal-inkjet/prod23121737
1,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,HP Team,,a month ago  ,"Yes, this model supports thicker papers like card stock.",9,56,None,2019-09-24 17:55:00.826702,https://www.samsclub.com/p/hp-officejet-38380-all-in-one-printer-thermal-inkjet/prod23121737
1,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,Glo,,2 months ago  ,None,1,4,None,2019-09-24 17:55:00.919599,https://www.samsclub.com/p/hp-officejet-38380-all-in-one-printer-thermal-inkjet/prod23121737
1,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,HP Team,,2 months ago  ,"Yes, this printer has wireless capability.",6,42,None,2019-09-24 17:55:00.976757,https://www.samsclub.com/p/hp-officejet-38380-all-in-one-printer-thermal-inkjet/prod23121737
